City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Chapais,CA,2022-04-19 18:16:58,49.7834,-74.8492,33.58,82,100,12.01
140,Bandarbeyla,SO,2022-04-19 18:16:58,9.4942,50.8122,81.5,73,4,10.89
141,Langenburg,DE,2022-04-19 18:16:59,49.2544,9.8458,56.1,41,0,11.5
142,Tsaratanana,MG,2022-04-19 18:16:59,-16.7833,47.65,75.33,79,92,5.64
143,Kahului,US,2022-04-19 18:16:19,20.8947,-156.47,75.22,77,40,16.11
144,Cabo San Lucas,MX,2022-04-19 18:16:44,22.8909,-109.9124,91.62,32,0,4.61
145,San Ramon,US,2022-04-19 18:13:15,37.7799,-121.978,61.39,74,20,11.5
146,Pingdu,CN,2022-04-19 18:17:00,36.7844,119.9464,52.41,52,0,6.17
147,Bathsheba,BB,2022-04-19 18:17:01,13.2167,-59.5167,84.81,58,20,24.16
148,Lorengau,PG,2022-04-19 18:17:01,-2.0226,147.2712,81.9,74,91,7.29
149,Jojoima,SL,2022-04-19 18:17:01,7.8792,-10.7878,82.45,66,81,5.44
150,Hasaki,JP,2022-04-19 18:17:02,35.7333,140.8333,54.0,62,100,12.71
151,Kushmurun,KZ,2022-04-19 18:17:02,52.4503,64.6311,57.4,62,86,7.36
152,Lebu,CL,2022-04-19 18:17:03,-37.6167,-73.65,54.63,92,100,3.85
153,Yetkul,RU,2022-04-19 18:17:03,54.8221,61.588,45.61,81,95,5.1
154,Codrington,AU,2022-04-19 18:17:05,-38.2667,141.9667,52.12,95,14,10.76
155,Taoudenni,ML,2022-04-19 18:17:06,22.6783,-3.9836,92.88,6,80,10.76
156,Vila Velha,BR,2022-04-19 18:12:34,-20.3297,-40.2925,82.35,69,20,16.11
157,Uwajima,JP,2022-04-19 18:17:07,33.2238,132.56,54.68,65,41,5.06
158,Kavieng,PG,2022-04-19 18:17:07,-2.5744,150.7967,82.18,74,85,14.03
159,East London,ZA,2022-04-19 18:16:15,-33.0153,27.9116,67.14,94,20,2.3
160,Macamic,CA,2022-04-19 18:17:08,48.7502,-78.9996,32.7,100,100,14.05
161,Saint-Georges,GD,2022-04-19 18:14:50,12.0564,-61.7485,85.68,70,20,24.16
162,Nouadhibou,MR,2022-04-19 18:17:09,20.931,-17.0347,69.78,73,90,19.57
163,Carauari,BR,2022-04-19 18:17:09,-4.8828,-66.8958,80.89,90,96,2.86
164,Henties Bay,NA,2022-04-19 18:17:09,-22.116,14.2845,71.28,62,52,7.78
165,Arraial Do Cabo,BR,2022-04-19 18:17:10,-22.9661,-42.0278,80.56,69,20,6.91
166,Dudinka,RU,2022-04-19 18:17:10,69.4058,86.1778,-5.1,100,92,2.82
167,Aktau,KZ,2022-04-19 18:17:11,43.65,51.2,57.78,55,33,10.63
168,Howard Springs,AU,2022-04-19 18:17:11,-12.497,131.047,80.51,96,64,5.41
169,Medina Del Campo,ES,2022-04-19 18:17:11,41.3124,-4.9141,44.71,77,100,10.87
170,Hambantota,LK,2022-04-19 18:17:12,6.1241,81.1185,80.19,84,98,10.6
171,Sobolevo,RU,2022-04-19 18:17:13,54.4299,31.8996,49.62,80,96,16.42
172,Mitsamiouli,KM,2022-04-19 18:17:13,-11.3847,43.2844,82.54,74,62,4.38
173,Iqaluit,CA,2022-04-19 18:17:13,63.7506,-68.5145,11.93,72,100,18.41
174,Half Moon Bay,US,2022-04-19 18:17:14,37.4636,-122.4286,63.9,72,75,6.91
175,Gualeguay,AR,2022-04-19 18:17:15,-33.1416,-59.3097,77.36,43,45,7.72
176,Coquimbo,CL,2022-04-19 18:12:30,-29.9533,-71.3436,64.13,63,20,10.36
177,Busing,PH,2022-04-19 18:17:16,13.1514,122.9714,79.25,81,99,7.38
178,Waingapu,ID,2022-04-19 18:17:16,-9.6567,120.2641,78.44,75,100,3.76
179,Kautokeino,NO,2022-04-19 18:17:17,69.0125,23.0412,37.26,92,92,1.68
180,Wadena,US,2022-04-19 18:17:18,46.4425,-95.1361,40.75,48,0,12.66
181,Borshchiv,UA,2022-04-19 18:17:18,48.8033,26.0435,43.59,46,99,4.5
182,Agadez,NE,2022-04-19 18:13:22,19.75,10.25,82.92,13,25,6.35
183,Vakhrushi,RU,2022-04-19 18:17:19,58.6847,50.0261,34.47,98,99,2.89
184,Chateaubelair,VC,2022-04-19 18:17:19,13.2833,-61.25,78.55,76,76,14.74
185,Lisakovsk,KZ,2022-04-19 18:17:19,52.5369,62.4936,55.87,69,98,6.38
186,Katsuura,JP,2022-04-19 18:13:03,35.1333,140.3,58.98,67,100,15.03
187,Prieska,ZA,2022-04-19 18:17:20,-29.6641,22.7474,71.08,30,0,3.49
188,Bandiagara,ML,2022-04-19 18:17:20,14.3501,-3.6104,94.8,8,100,10.83
189,Upernavik,GL,2022-04-19 18:17:21,72.7868,-56.1549,0.79,79,100,8.63
190,Hofn,IS,2022-04-19 18:17:23,64.2539,-15.2082,44.65,84,20,10.07
191,Olafsvik,IS,2022-04-19 18:17:23,64.8945,-23.7142,41.86,70,40,13.76
192,Marawi,PH,2022-04-19 18:17:23,7.9986,124.2928,69.15,96,80,0.51
193,Maragogi,BR,2022-04-19 18:17:24,-9.0122,-35.2225,82.69,72,98,9.53
194,Vaini,TO,2022-04-19 18:17:24,-21.2,-175.2,78.96,83,40,6.91
195,Pangnirtung,CA,2022-04-19 18:17:25,66.1451,-65.7125,3.2,66,20,0.0
196,Bagaces,CR,2022-04-19 18:17:25,10.5271,-85.2548,91.33,35,100,11.7
197,Aykhal,RU,2022-04-19 18:17:25,66.0,111.5,10.13,96,100,8.84
198,Aljezur,PT,2022-04-19 18:17:26,37.3191,-8.8033,58.93,62,0,26.13
199,Deer Lake,CA,2022-04-19 18:12:42,49.1667,-57.4316,46.26,29,75,5.75
200,George Town,MY,2022-04-19 18:14:00,5.4112,100.3354,78.73,94,20,2.3
201,Abu Samrah,SY,2022-04-19 18:17:27,35.3029,37.1841,57.22,62,19,14.16
202,Haines Junction,CA,2022-04-19 18:17:27,60.7522,-137.5108,31.95,29,99,0.0
203,Abnub,EG,2022-04-19 18:17:28,27.2696,31.1511,76.84,21,0,13.6
204,Viedma,AR,2022-04-19 18:17:28,-40.8135,-62.9967,76.51,22,58,15.19
205,Semporna,MY,2022-04-19 18:17:28,4.4818,118.6112,79.23,85,85,4.72
206,Okhotsk,RU,2022-04-19 18:17:29,59.3833,143.3,24.94,93,100,14.14
207,Eucaliptus,BO,2022-04-19 18:17:29,-17.5833,-67.5167,63.16,16,31,7.0
208,Touros,BR,2022-04-19 18:14:20,-5.1989,-35.4608,85.51,57,83,14.2
209,Rawson,AR,2022-04-19 18:17:30,-43.3002,-65.1023,68.11,36,94,3.58
